# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 1
11 0 2
12 0 4
13 0 6
14 0 8
15 0 9
16 0 10
17 0 13
18 0 16
19 0 19
20 0 21
21 0 25
22 0 26
23 0 27
24 0 29
25 0 32
26 0 38
27 0 40
28 0 41
29 0 46
30 0 49
31 0 51
32 0 54
33 0 57
34 0 61
35 0 63
36 0 67
37 0 71
38 0 72
39 0 73
40 0 75
41 0 79
42 0 81
43 0 83
44 0 86
45 0 89
46 0 91
47 0 93
48 0 97
49 0 97
50 0 100
51 0 104
52 0 106
53 0 109
54 0 111
55 0 113
56 0 116
57 0 117
58 0 118
59 0 122
60 0 125
61 0 128
62 0 131
63 0 134
64 0 138
65 0 139
66 0 142
67 0 144
68 0 145
69 0 147
70 0 151
71 0 153
72 0 155
73 0 156
74 0 159
75 0 162
76 0 162
77 0 165
78 0 165
79 0 167
80 0 168
81 0 171
82 0 173
83 0 176
84 0 178
85 0 180
86 0 182
87 0 185
88 0 188
89 0 192
90 0 195
91 0 198
92 0 202
93 0 203
94 0 205
95 0 209
96 0 212
97 0 213
98 0 215
99 0 217
100 0 219
101 0 222
102 0 225
103 0 225
104 0 228
105 0 228
106 0 229
107 0 232
108 0 233
109 0 235
110 0 236
111 0 241
112 0 244
113 0 247
114 0 248
115 0 250
116 0 253
117 0 254
118 0 258
119 0 260
120 0 263
121 0 266
122 0 268
123 0 270
124 0 274
125 0 277
126 0 280
127 0 282
128 0 283
129 0 287
130 0 289
131 0 291
132 0 293
133 0 296
134 0 300
135 0 300
136 0 302
137 0 305
138 0 309
139 0 311
140 0 313
141 0 315
142 0 318
143 0 321
144 0 323
145 0 326
146 0 327
147 0 329
148 0 331
149 0 335
150 0 338
151 0 339
152 0 341
153 0 343
154 0 348
155 0 350
156 0 351
157 0 352
158 0 354
159 0 355
160 0 358
161 0 360
162 0 361
163 0 362
164 0 366
165 0 367
166 0 369
167 0 371
168 0 375
169 0 376
170 0 379
171 0 382
172 0 385
173 0 386
174 0 388
175 0 389
176 0 393
177 0 395
178 0 396
179 0 398
180 0 400
181 0 403
182 0 405
183 0 406
184 0 409
185 0 411
186 0 412
187 0 415
188 0 417
189 0 418
190 0 421
191 0 423
192 0 428
193 0 428
194 0 431
195 0 435
196 0 436
197 0 439
198 0 440
199 0 445
200 0 449
