# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 1
60 0 1
70 0 1
80 1 1
90 1 1
100 1 1
110 1 1
120 1 1
130 1 2
140 2 2
150 2 2
160 2 2
170 2 2
180 2 4
190 2 4
200 2 5
210 2 5
220 2 5
230 2 7
240 2 8
250 2 8
260 2 9
270 2 9
280 2 9
290 2 9
300 2 10
310 2 10
320 2 10
330 2 10
340 2 10
350 2 11
360 2 11
370 2 11
380 4 11
390 4 11
400 4 11
410 4 11
420 4 11
430 4 11
440 4 11
450 4 11
460 5 11
470 5 11
480 5 12
490 5 12
500 5 12
510 5 12
520 5 12
530 5 12
540 5 12
550 5 12
560 5 13
570 6 13
580 6 13
590 6 13
600 7 13
610 7 13
620 7 13
630 7 13
640 7 13
650 7 13
660 7 13
670 7 13
680 7 13
690 7 13
700 7 14
710 7 14
720 8 14
730 9 14
740 10 14
750 11 14
760 11 14
770 14 14
780 14 14
790 14 14
800 15 14
810 16 14
820 16 14
830 16 15
840 16 15
850 16 15
860 16 16
870 16 16
880 16 16
890 16 16
900 16 16
910 17 16
920 17 16
930 18 16
940 18 16
950 19 17
960 20 18
970 22 18
980 22 18
990 22 18
1000 22 18
