# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 3
10 0 5
11 0 7
12 0 10
13 0 12
14 0 15
15 0 19
16 0 21
17 0 24
18 0 27
19 0 30
20 0 31
21 0 34
22 0 35
23 0 36
24 0 38
25 0 41
26 0 42
27 0 45
28 0 48
29 0 50
30 0 53
31 0 56
32 0 59
33 0 61
34 0 63
35 0 65
36 0 69
37 0 72
38 0 75
39 0 77
40 0 82
41 0 83
42 0 87
43 0 90
44 0 93
45 0 96
46 0 98
47 0 101
48 0 102
49 0 107
50 0 110
51 0 113
52 0 116
53 0 119
54 0 123
55 0 125
56 0 127
57 0 129
58 0 130
59 0 134
60 0 135
61 0 137
62 0 139
63 0 139
64 0 142
65 0 145
66 0 148
67 0 149
68 0 152
69 0 154
70 0 158
71 0 159
72 0 160
73 0 162
74 0 164
75 0 168
76 0 169
77 0 171
78 0 174
79 0 178
80 0 179
81 0 183
82 0 185
83 0 187
84 0 189
85 0 190
86 0 193
87 0 195
88 0 197
89 0 200
90 0 202
91 0 206
92 0 208
93 0 212
94 0 214
95 0 215
96 0 218
97 0 221
98 0 223
99 0 226
100 0 228
101 0 230
102 0 232
103 0 235
104 0 236
105 0 236
106 0 239
107 0 240
108 0 243
109 0 245
110 0 247
111 0 248
112 0 251
113 0 252
114 0 256
115 0 257
116 0 258
117 0 259
118 0 261
119 0 264
120 0 266
121 0 267
122 0 269
123 0 271
124 0 274
125 0 275
126 0 276
127 0 276
128 0 279
129 0 280
130 0 282
131 0 286
132 0 287
133 0 290
134 0 293
135 0 295
136 0 297
137 0 300
138 0 302
139 0 306
140 0 311
141 0 312
142 0 312
143 0 314
144 0 316
145 0 317
146 0 319
147 0 321
148 0 322
149 0 326
150 0 328
151 0 330
152 0 334
153 0 336
154 0 338
155 0 340
156 0 342
157 0 344
158 0 345
159 0 349
160 0 350
161 0 352
162 0 354
163 0 355
164 0 357
165 0 361
166 0 361
167 0 363
168 0 364
169 0 367
170 0 368
171 0 369
172 0 369
173 0 372
174 0 375
175 0 378
176 0 379
177 0 381
178 0 383
179 0 386
180 0 389
181 0 389
182 0 394
183 0 397
184 0 401
185 0 404
186 0 406
187 0 408
188 0 411
189 0 415
190 0 417
191 0 420
192 0 423
193 0 424
194 0 427
195 0 428
196 0 431
197 0 433
198 0 434
199 0 436
200 0 439
